Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
haircare,SKU100,74.27508837458394,64,235,8099.9010949819585,Unknown,43,12,82,5,Carrier C,4.0155434095756695,Supplier 5,Chennai,22,203,11,56.45910389605257,Pending,3.550742651683482,Air,Route B,248.89459068716343
cosmetics,SKU101,34.94633047983617,1,659,6679.409006728774,Male,40,7,71,7,Carrier A,6.026396405801203,Supplier 4,Chennai,2,890,8,99.46610860359912,Fail,0.9090687288124923,Road,Route A,342.9923754293437
haircare,SKU102,12.570007927152375,79,116,6029.318994362723,Non-binary,43,1,88,4,Carrier C,5.000627820639052,Supplier 2,Chennai,20,584,4,54.58426051662633,Pass,1.6235794242839572,Sea,Route A,454.5882151620311
cosmetics,SKU103,3.4367736733116274,12,792,2351.103271275777,Female,26,16,96,8,Carrier B,3.2492724489751015,Supplier 3,Kolkata,14,435,30,64.88347567628922,Pass,2.568818244358307,Road,Route B,655.9159233991069
skincare,SKU104,61.87363929908461,66,151,6062.585050702634,Unknown,35,12,54,3,Carrier C,5.751085986520234,Supplier 2,Kolkata,21,290,20,30.294516076666415,Fail,1.767262871284913,Air,Route B,406.358430513137
haircare,SKU105,11.557578571673723,20,591,1837.8814845281927,Female,100,10,29,4,Carrier C,5.922722650651308,Supplier 1,Bangalore,10,300,30,70.57150338297046,Fail,2.1817134383642465,Rail,Route A,870.3626312672807
cosmetics,SKU106,23.737272474076683,21,709,1934.2125762378355,Non-binary,5,16,57,3,Carrier A,1.960316433432907,Supplier 4,Chennai,26,712,18,40.466015738686245,Pending,0.2986444386474518,Sea,Route C,398.8711073552033
haircare,SKU107,92.15529997200127,60,996,9262.914895309834,Non-binary,72,13,96,6,Carrier C,8.957322074683013,Supplier 4,Mumbai,16,486,19,87.91741555107455,Pending,2.2666255912509032,Rail,Route A,437.04652953374364
haircare,SKU108,99.1713286386242,86,525,3309.3539869993374,Unknown,2,28,52,7,Carrier B,5.13716830520767,Supplier 3,Mumbai,22,498,2,44.70066234946433,Pass,4.422890246159419,Rail,Route C,952.4964120841198
skincare,SKU109,38.998562960119905,62,311,2864.1923051162585,Female,63,10,37,7,Carrier C,6.723528199549362,Supplier 1,Kolkata,1,604,24,84.58835667580539,Pending,2.758387538719397,Road,Route A,997.4134501331946
skincare,SKU110,37.74938148527536,100,187,8947.307727995467,Female,38,18,52,6,Carrier B,3.8213714138668027,Supplier 2,Mumbai,18,237,22,38.12038702112771,Fail,3.326014358089151,Road,Route B,149.24191528882
skincare,SKU111,24.25707296434161,1,895,8652.293405276914,Non-binary,16,17,34,6,Carrier B,2.5711578186913395,Supplier 1,Delhi,25,189,14,52.23006985059633,Pass,4.491261553249345,Rail,Route A,588.2455742465326
skincare,SKU112,82.73256492861924,31,897,8292.039049102816,Female,66,28,94,4,Carrier C,4.343625443530188,Supplier 5,Delhi,15,592,17,32.374532394181784,Fail,0.4611853664287291,Sea,Route C,740.7352561572832
haircare,SKU113,74.41520546932315,97,62,4376.054474312799,Male,30,28,35,10,Carrier B,7.360435336996773,Supplier 1,Mumbai,30,559,18,95.94897724920801,Pending,2.8088045730540188,Rail,Route B,449.14443175450276
